id size acc_length cash
0 3 14 12457
1 5 4 3500
2 2 4 2453
3 4 12 5055
4 1 3 1927
5 3 8 4432
6 1 13 11306
7 2 10 9661
8 5 10 2417
9 4 5 2770
10 4 4 2590
11 2 2 1851
12 3 12 10590
13 5 10 4758
14 1 13 8926
15 3 7 2228
16 5 6 1877
17 5 4 497
18 5 7 3130
19 1 9 1792
20 3 14 4601
21 2 13 4864
22 1 14 4533
23 5 13 10270
24 3 12 1867
25 2 2 1140
26 1 8 2919
27 1 5 1220
28 4 2 594
29 2 8 3864
30 4 13 7130
31 3 3 558
32 1 11 10630
33 5 2 1575
34 1 5 1855
35 3 7 5593
36 1 9 4108
37 3 3 1116
38 5 9 6463
39 1 9 7526
40 4 5 1355
41 5 5 1980
42 4 3 2552
43 4 10 3465
44 1 12 10254
45 4 3 553
46 2 4 1028
47 2 11 1256
48 5 14 12341
49 2 10 5955
50 4 13 7429
51 2 13 7753
52 3 3 2352
53 4 12 9057
54 3 12 2473
55 3 3 2439
56 1 14 11821
57 1 10 8342
58 4 14 5033
59 3 2 1268
60 3 7 1529
61 1 3 507
62 1 9 7427
63 3 6 3758
64 3 2 1582
65 2 7 5921
66 4 12 2477
67 3 11 4051
68 4 4 2495
69 1 8 4399
70 4 8 3008
71 1 6 3246
72 1 12 4701
73 4 4 3674
74 5 9 3402
75 2 13 2472
76 4 4 1737
77 4 4 3298
78 2 2 1761
79 4 14 8825
80 4 8 3409
81 4 3 2702
82 3 3 2411
83 5 14 9288
84 5 12 7361
85 5 11 5139
86 3 4 3410
87 4 8 4080
88 2 10 5901
89 4 12 9535
90 3 3 2371
91 1 6 1116
92 1 6 3861
93 1 6 3838
94 2 3 1383
95 2 3 1837
96 2 3 2572
97 1 8 4771
98 5 6 5590
99 1 12 9144
100 2 14 6345
