id profession cash
1 0 699
2 1 848
3 2 853
4 3 923
5 2 828
6 3 868
7 3 113
8 3 127
9 3 919
10 3 869
11 2 587
12 2 578
13 0 287
14 1 560
15 2 560
16 2 223
17 1 502
18 0 250
19 1 672
20 1 474
21 2 500
22 0 419
23 2 476
24 1 559
25 2 223
26 3 894
27 0 105
28 0 383
29 1 792
30 2 490
31 1 562
32 1 653
33 2 373
34 3 934
35 3 578
36 2 443
37 2 391
38 1 758
39 3 994
40 3 423
41 0 115
42 1 748
43 3 733
44 1 797
45 3 723
46 1 792
47 2 998
48 1 157
49 1 246
50 0 226
51 0 1000
52 2 124
53 0 598
54 3 777
55 2 268
56 2 473
57 1 354
58 2 632
59 0 135
60 0 272
61 2 659
62 0 783
63 1 990
64 1 150
65 0 979
66 0 218
67 0 489
68 2 539
69 3 511
70 3 585
71 0 560
72 2 880
73 0 642
74 3 668
75 0 902
76 2 728
77 0 247
78 2 254
79 3 728
80 1 628
81 1 863
82 3 354
83 1 643
84 2 544
85 1 264
86 2 366
87 0 721
88 3 921
89 0 330
90 3 643
91 3 406
92 2 454
93 0 539
94 2 203
95 3 302
96 1 446
97 3 446
98 1 811
99 3 710
100 0 567
